Description,TotalQuantity,TotalRevenue,TotalOrders,AvgMonthlyDemand,ReorderPoint,InventoryStatus
HEXAGONAL CRYSTAL PERFUME BOTTLE,1,1.95,1,0.04,0.06,Low Demand
HI TEC ALPINE HAND WARMER,1115,1157.79,104,44.6,66.9,Medium Demand
HILDA CANDY SPOT RABBIT,143,536.25,50,5.72,8.58,Low Demand
HIPPY CHIC DECORATIVE PARASOL,206,1412.1000000000001,42,8.24,12.36,Low Demand
HOLIDAY FUN LUDO,1943,6951.5,346,77.72,116.58,Medium Demand
HOLLY TOP CHRISTMAS STOCKING,607,556.27,62,24.28,36.42,Medium Demand
HOLLYHOCK SQUARE HANDY TIN,1,1.25,1,0.04,0.06,Low Demand
HOME BUILDING BLOCK WORD,7468,43837.76,1831,298.72,448.08000000000004,High Demand
HOME GARLAND PAINTED ZINC ,1633,2070.45,115,65.32,97.97999999999999,Medium Demand
HOME SMALL WOOD LETTERS,942,4662.900000000001,331,37.68,56.519999999999996,Medium Demand
HOME SWEEET HOME 3 PEG HANGER ,25,93.75,4,1.0,1.5,Low Demand
HOME SWEET HOME  BLACKBOARD,3,19.049999999999997,3,0.12,0.18,Low Demand
HOME SWEET HOME 2 DRAWER CABINET,237,1137.95,57,9.48,14.22,Low Demand
HOME SWEET HOME 3 PEG HANGER ,256,937.9200000000001,51,10.24,15.36,Low Demand
HOME SWEET HOME BLACKBOARD,969,4108.58,136,38.76,58.14,Medium Demand
HOME SWEET HOME BOTTLE ,438,897.12,61,17.52,26.28,Low Demand
HOME SWEET HOME CUSHION COVER ,769,2883.75,201,30.76,46.14,Medium Demand
HOME SWEET HOME HANGING HEART,1823,1546.4299999999998,176,72.92,109.38,Medium Demand
HOME SWEET HOME HOOK,326,405.6,45,13.04,19.56,Low Demand
HOME SWEET HOME KEY HOLDER,435,2154.79,94,17.4,26.099999999999998,Low Demand
HOME SWEET HOME METAL SIGN ,5912,16103.84,630,236.48,354.71999999999997,High Demand
HOME SWEET HOME MUG,13987,15564.11,650,559.48,839.22,High Demand
HOMEMADE JAM SCENTED CANDLES,14588,21020.8,577,583.52,875.28,High Demand
"HOOK, 1 HANGER ,MAGIC GARDEN",4451,3631.5499999999997,273,178.04,267.06,High Demand
"HOOK, 3 HANGER ,MAGIC GARDEN",1933,3560.5499999999997,141,77.32,115.97999999999999,Medium Demand
"HOOK, 5 HANGER , MAGIC TOADSTOOL",2921,4589.25,209,116.84,175.26,High Demand
"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",3085,4725.45,140,123.4,185.10000000000002,High Demand
HORSE & PONY WALL ART,256,797.3100000000001,17,10.24,15.36,Low Demand
HOT BATHS METAL SIGN,11978,23390.22,820,479.12,718.6800000000001,High Demand
HOT BATHS SOAP HOLDER,1534,2511.82,227,61.36,92.03999999999999,Medium Demand
HOT STUFF HOT WATER BOTTLE,528,1689.9,67,21.12,31.68,Medium Demand
HOT WATER BOTTLE BABUSHKA ,3522,15758.9,354,140.88,211.32,High Demand
HOT WATER BOTTLE BABUSHKA LARGE,136,618.0,14,5.44,8.16,Low Demand
HOT WATER BOTTLE I AM SO POORLY,4827,22266.63,815,193.08,289.62,High Demand
HOT WATER BOTTLE KEEP CALM,5338,24426.3,719,213.52,320.28000000000003,High Demand
HOT WATER BOTTLE SEX BOMB,435,1843.55,88,17.4,26.099999999999998,Low Demand
HOT WATER BOTTLE TEA AND SYMPATHY,9325,36269.270000000004,1298,373.0,559.5,High Demand
HOUSE SHAPE PENCIL SHARPENER,3206,371.01,66,128.24,192.36,High Demand
HOUSE WRECKING METAL SIGN ,742,1166.7,130,29.68,44.519999999999996,Medium Demand
HYACINTH BULB T-LIGHT CANDLES,4386,1775.8799999999999,137,175.44,263.15999999999997,High Demand
High Resolution Image,4,27.0,3,0.16,0.24,Low Demand
I CAN ONLY PLEASE ONE PERSON MUG,6225,7472.31,539,249.0,373.5,High Demand
I LOVE LONDON BABY GIFT SET,209,3262.5499999999997,61,8.36,12.54,Low Demand
I LOVE LONDON BEAKER,827,999.75,70,33.08,49.62,Medium Demand
I LOVE LONDON WALL ART,12,59.400000000000006,2,0.48,0.72,Low Demand
I'M ON HOLIDAY METAL SIGN,5090,10504.150000000001,694,203.6,305.4,High Demand
ICE CREAM BUBBLES,2667,2147.6099999999997,94,106.68,160.02,High Demand
ICE CREAM DESIGN GARDEN PARASOL,413,1963.35,71,16.52,24.78,Low Demand
ICE CREAM PEN LIP GLOSS ,6607,8077.31,213,264.28,396.41999999999996,High Demand
ICE CREAM SUNDAE LIP GLOSS,7920,9668.16,248,316.8,475.20000000000005,High Demand
"ICON ALARM CLOCK,FUSCHIA  PIN UP",23,58.65,7,0.92,1.3800000000000001,Low Demand
ICON MUG REVOLUTIONARY,701,283.71,79,28.04,42.06,Medium Demand
ICON PLACEMAT POP ART ELVIS,900,144.3,31,36.0,54.0,Medium Demand
IF YOU CAN'T STAND THE HEAT MUG,2011,2276.75,150,80.44,120.66,Medium Demand
ILLUSTRATED CAT BOWL ,1741,4568.91,154,69.64,104.46000000000001,Medium Demand
INCENSE BAZAAR CANNABIS,228,84.84,2,9.12,13.68,Low Demand
INCENSE BAZAAR PEACH,6,2.52,1,0.24,0.36,Low Demand
INFLATABLE POLITICAL GLOBE ,8624,6761.5199999999995,297,344.96,517.4399999999999,High Demand
INLAID WOOD INCENSE HOLDER,3641,813.0899999999999,30,145.64,218.45999999999998,High Demand
IVORY CAFE HANGING LAMP ,114,1330.5,43,4.56,6.84,Low Demand
IVORY CHANDELIER T-LIGHT HOLDER,561,1292.97,36,22.44,33.660000000000004,Medium Demand
IVORY DINER WALL CLOCK,1665,13577.9,475,66.6,99.89999999999999,Medium Demand
IVORY EMBROIDERED QUILT ,70,2603.3,30,2.8,4.199999999999999,Low Demand
IVORY ENCHANTED FOREST PLACEMAT,1793,2822.45,157,71.72,107.58,Medium Demand
IVORY FELT EASTER RABBIT GARLAND,66,168.29999999999998,21,2.64,3.96,Low Demand
IVORY GIANT GARDEN THERMOMETER,728,4223.6,201,29.12,43.68,Medium Demand
IVORY GOLD METAL BAG CHARM,19,104.07,5,0.76,1.1400000000000001,Low Demand
IVORY HANGING BIRD PLANTER ,248,621.6,46,9.92,14.879999999999999,Low Demand
IVORY HANGING DECORATION  BIRD,2156,1829.4799999999998,194,86.24,129.35999999999999,Medium Demand
IVORY HANGING DECORATION  BUTTERFLY,1739,1471.9099999999999,113,69.56,104.34,Medium Demand
IVORY HANGING DECORATION  CHICKEN,291,247.35,27,11.64,17.46,Low Demand
IVORY HANGING DECORATION  EGG,1145,621.65,82,45.8,68.69999999999999,Medium Demand
IVORY HANGING DECORATION  HEART,10301,8456.33,505,412.04,618.0600000000001,High Demand
IVORY HANGING DECORATION  RABBIT,25,21.25,4,1.0,1.5,Low Demand
IVORY KITCHEN SCALES,3014,24946.68,1065,120.56,180.84,High Demand
IVORY KNITTED MUG COSY ,973,1527.09,82,38.92,58.38,Medium Demand
IVORY LOVE BIRD CANDLE,944,1037.82,97,37.76,56.64,Medium Demand
IVORY PANTRY HANGING LAMP ,2,25.0,1,0.08,0.12,Low Demand
IVORY PAPER CUP CAKE CASES ,2990,1545.4399999999998,159,119.6,179.39999999999998,High Demand
IVORY PENDANT TRIPLE SHELL NECKLACE,6,29.7,2,0.24,0.36,Low Demand
IVORY PILLAR CANDLE GOLD FLOCK,1074,1873.5,72,42.96,64.44,Medium Demand
IVORY PILLAR CANDLE SILVER FLOCK,1162,2331.34,132,46.48,69.72,Medium Demand
IVORY REFECTORY CLOCK,202,1894.6999999999998,76,8.08,12.120000000000001,Low Demand
IVORY RETRO KITCHEN WALL CLOCK,70,559.5,26,2.8,4.199999999999999,Low Demand
IVORY ROSE LAMPSHADE ,39,44.25,9,1.56,2.34,Low Demand
IVORY SCULPTED RND CANDLE ,92,78.19999999999999,13,3.68,5.5200000000000005,Low Demand
IVORY SHELL HEART EARRINGS,5,12.749999999999998,2,0.2,0.30000000000000004,Low Demand
IVORY SHELL HEART NECKLACE,45,253.17000000000002,21,1.8,2.7,Low Demand
IVORY STRING CURTAIN WITH POLE ,541,1250.95,45,21.64,32.46,Medium Demand
IVORY SWEETHEART SOAP DISH,139,346.11,40,5.56,8.34,Low Demand
IVORY SWEETHEART WIRE LETTER RACK ,545,2013.51,149,21.8,32.7,Medium Demand
IVORY WALL CLOCK,60,459.0,1,2.4,3.5999999999999996,Low Demand
IVORY WICKER HEART LARGE,1996,3283.8,267,79.84,119.76,Medium Demand
IVORY WICKER HEART MEDIUM,2030,2524.9,216,81.2,121.80000000000001,Medium Demand
IVORY WICKER HEART SMALL,2154,1345.5,95,86.16,129.24,Medium Demand
IVORY WIRE KITCHEN ORGANISER,116,1137.65,36,4.64,6.959999999999999,Low Demand
IVORY WIRE SWEETHEART LETTER TRAY,127,467.05,44,5.08,7.62,Low Demand
IVY HEART WREATH,500,3247.0,127,20.0,30.0,Low Demand
JACOBS LADDER SMALL,2064,123.84,38,82.56,123.84,Medium Demand
JADE CRYSTAL+GLASS BRACELET,34,168.3,14,1.36,2.04,Low Demand
JADE DROP EARRINGS W FILIGREE,58,287.1,19,2.32,3.4799999999999995,Low Demand
JADE GREEN ENAMEL HAIR COMB,36,70.2,7,1.44,2.16,Low Demand
JADE GREEN PAIR ENAMEL HAIR SLIDES,1,3.75,1,0.04,0.06,Low Demand
JAM CLOCK MAGNET,312,845.5,55,12.48,18.72,Low Demand
JAM JAR WITH BLUE LID,26,18.98,2,1.04,1.56,Low Demand
JAM JAR WITH GREEN LID,3695,2935.61,220,147.8,221.70000000000002,High Demand
JAM JAR WITH PINK LID,4395,3503.31,257,175.8,263.70000000000005,High Demand
JAM MAKING SET PRINTED,16617,23416.449999999997,903,664.68,997.02,High Demand
JAM MAKING SET WITH JARS,8702,34851.72,903,348.08,522.12,High Demand
JAPANESE CROCHETED ANIMAL,5119,2056.38,168,204.76,307.14,High Demand
JARDIN DE FEMME SCENTED CANDLE,656,392.0,12,26.24,39.36,Medium Demand
JARDIN ETCHED GLASS BUTTER DISH,70,485.9,30,2.8,4.199999999999999,Low Demand
JARDIN ETCHED GLASS CANDLEHLDR LONG,61,301.95,16,2.44,3.66,Low Demand
JARDIN ETCHED GLASS CHEESE DISH,221,579.35,40,8.84,13.26,Low Demand
JARDIN ETCHED GLASS FRUITBOWL,189,1336.95,69,7.56,11.34,Low Demand
JARDIN ETCHED GLASS GINGER JAR,54,429.3,27,2.16,3.24,Low Demand
JARDIN ETCHED GLASS LARGE BELL JAR,92,813.0,30,3.68,5.5200000000000005,Low Demand
JARDIN ETCHED GLASS SMALL BELL JAR,115,564.25,27,4.6,6.8999999999999995,Low Demand
JASMINE TEA INCENSE IN TIN,270,294.3,43,10.8,16.200000000000003,Low Demand
JASMINE VOTIVE CANDLE,2968,732.0799999999999,61,118.72,178.07999999999998,High Demand
JAZZ HEARTS ADDRESS BOOK,6137,1573.65,270,245.48,368.21999999999997,High Demand
JAZZ HEARTS MAGNETIC MEMO PAD,7058,850.9000000000001,16,282.32,423.48,High Demand
JAZZ HEARTS MEMO PAD,10945,1305.49,24,437.8,656.7,High Demand
JAZZ HEARTS PURSE NOTEBOOK,6098,3126.5,377,243.92,365.88,High Demand
JAZZ HEARTS SPIRAL NOTEPAD,47,39.949999999999996,12,1.88,2.82,Low Demand
JELLY BABIES YELLOW SMALL BOWL,358,420.14,64,14.32,21.48,Low Demand
JET BLACK LAS VEGAS BRACELET ROUND,19,71.25,7,0.76,1.1400000000000001,Low Demand
JET BLACK LAS VEGAS NECKLACE 45CM,18,107.1,8,0.72,1.08,Low Demand
"JEWELLED DECORATION,BLUE",150,57.0,3,6.0,9.0,Low Demand
"JEWELLED DECORATION,PINK",2,5.9,2,0.08,0.12,Low Demand
JIGSAW RABBIT AND BIRDHOUSE,885,1082.89,127,35.4,53.099999999999994,Medium Demand
JIGSAW TOADSTOOLS 3 PIECE,1003,1120.6299999999999,112,40.12,60.17999999999999,Medium Demand
JIGSAW TREE WITH BIRDHOUSE,1981,2387.5699999999997,220,79.24,118.85999999999999,Medium Demand
JIGSAW TREE WITH WATERING CAN,1368,732.16,123,54.72,82.08,Medium Demand
JINGLE BELL HEART ANTIQUE GOLD,765,1610.27,91,30.6,45.900000000000006,Medium Demand
JINGLE BELL HEART ANTIQUE SILVER,3547,6962.04,197,141.88,212.82,High Demand
JINGLE BELL HEART DECORATION,3687,6069.15,307,147.48,221.21999999999997,High Demand
JINGLE BELLS TREE DECORATION,340,578.04,46,13.6,20.4,Low Demand
JOY LARGE WOOD LETTERS,436,2661.2,92,17.44,26.160000000000004,Low Demand
JOY WOODEN BLOCK LETTERS,785,3561.33,243,31.4,47.099999999999994,Medium Demand
JUMBO  BAG BAROQUE BLACK WHITE,29447,53168.340000000004,1449,1177.88,1766.8200000000002,High Demand
JUMBO BAG 50'S CHRISTMAS ,8954,17679.72,586,358.16,537.24,High Demand
JUMBO BAG ALPHABET,12540,24175.0,752,501.6,752.4000000000001,High Demand
JUMBO BAG APPLES,13887,26451.260000000002,718,555.48,833.22,High Demand
JUMBO BAG CHARLIE AND LOLA TOYS,3449,6574.9,293,137.96,206.94,High Demand
JUMBO BAG DOILEY PATTERNS,8737,16741.260000000002,454,349.48,524.22,High Demand
JUMBO BAG DOLLY GIRL DESIGN,5389,10249.81,526,215.56,323.34000000000003,High Demand
JUMBO BAG OWLS,19832,35822.62,920,793.28,1189.92,High Demand
JUMBO BAG PAISLEY PARK,4373,8529.24,302,174.92,262.38,High Demand
JUMBO BAG PEARS,6733,13043.24,470,269.32,403.98,High Demand
JUMBO BAG PINK POLKADOT,23934,43967.14,1055,957.36,1436.04,High Demand
JUMBO BAG PINK VINTAGE PAISLEY,24431,43883.88,1228,977.24,1465.8600000000001,High Demand
JUMBO BAG PINK WITH WHITE SPOTS,13777,24472.05,712,551.08,826.6200000000001,High Demand
JUMBO BAG RED RETROSPOT,75759,136980.08,2612,3030.36,4545.54,High Demand
JUMBO BAG RED WHITE SPOTTY ,13890,24345.3,465,555.6,833.4000000000001,High Demand
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7757,14632.970000000001,451,310.28,465.41999999999996,High Demand
JUMBO BAG SCANDINAVIAN PAISLEY,15861,27707.95,721,634.44,951.6600000000001,High Demand
JUMBO BAG SPACEBOY DESIGN,16545,30096.57,971,661.8,992.6999999999999,High Demand
JUMBO BAG STRAWBERRY,36098,64601.65,1514,1443.92,2165.88,High Demand
JUMBO BAG TOYS ,11469,20532.63,671,458.76,688.14,High Demand
JUMBO BAG VINTAGE CHRISTMAS ,4908,9748.34,385,196.32,294.48,High Demand
JUMBO BAG VINTAGE DOILEY ,143,268.44,6,5.72,8.58,Low Demand
JUMBO BAG VINTAGE DOILY ,10636,20674.68,621,425.44,638.16,High Demand
JUMBO BAG VINTAGE LEAF,10716,20963.93,772,428.64,642.96,High Demand
JUMBO BAG WOODLAND ANIMALS,15929,29504.5,915,637.16,955.74,High Demand
JUMBO SHOPPER VINTAGE RED PAISLEY,24690,45784.63,1680,987.6,1481.4,High Demand
JUMBO STORAGE BAG SKULLS,12544,23232.89,997,501.76,752.64,High Demand
JUMBO STORAGE BAG SUKI,26239,48255.8,1714,1049.56,1574.34,High Demand
JUNGLE POPSICLES ICE LOLLY HOLDERS,1471,1793.15,137,58.84,88.26,Medium Demand
JUNGLE POPSICLES ICE LOLLY MOULDS,833,1041.16,96,33.32,49.980000000000004,Medium Demand
KASBAH LANTERN WITH GLASS ,56,250.8,15,2.24,3.3600000000000003,Low Demand
KASHMIR FOLKART HEART DISHES,3,5.07,3,0.12,0.18,Low Demand
KASHMIR FOLKART TUMBLERS,2487,4829.92,83,99.48,149.22,Medium Demand
KEEP CALM BIRTHDAY WRAP,50,21.0,2,2.0,3.0,Low Demand
KEEP CALM WALL ART ,269,2015.97,20,10.76,16.14,Low Demand
KEEP OUT BOYS DOOR HANGER ,2307,1643.07,161,92.28,138.42000000000002,Medium Demand
KEEP OUT GIRLS DOOR HANGER ,764,486.67999999999995,49,30.56,45.839999999999996,Medium Demand
KENSINGTON COFFEE SET,363,3422.25,114,14.52,21.78,Low Demand
KEY CABINET MA CAMPAGNE,659,5228.889999999999,119,26.36,39.54,Medium Demand
"KEY FOB , BACK DOOR ",6151,3922.4700000000003,575,246.04,369.06,High Demand
"KEY FOB , FRONT  DOOR ",5320,3306.34,408,212.8,319.20000000000005,High Demand
"KEY FOB , GARAGE DESIGN",5904,3679.08,408,236.16,354.24,High Demand
"KEY FOB , SHED",8176,5187.24,654,327.04,490.56000000000006,High Demand
KEY RING BASEBALL BOOT ASSORTED ,1585,1935.05,84,63.4,95.1,Medium Demand
KEY RING BASEBALL BOOT UNION JACK,1772,2105.8,85,70.88,106.32,Medium Demand
KID'S CHALKBOARD/EASEL,5,14.75,2,0.2,0.30000000000000004,Low Demand
KIDS CUTLERY DOLLY GIRL ,36,149.4,8,1.44,2.16,Low Demand
KIDS CUTLERY SPACEBOY ,36,149.4,8,1.44,2.16,Low Demand
KIDS RAIN MAC BLUE,3242,2583.68,174,129.68,194.52,High Demand
KIDS RAIN MAC PINK,2782,2269.48,177,111.28,166.92000000000002,High Demand
KINGS CHOICE BISCUIT TIN,1891,8120.59,316,75.64,113.46000000000001,Medium Demand
KINGS CHOICE CIGAR BOX MATCHES ,3446,4138.78,280,137.84,206.76,High Demand
KINGS CHOICE GIANT TUBE MATCHES,2648,6162.900000000001,236,105.92,158.88,High Demand
KINGS CHOICE MUG,6714,7491.42,326,268.56,402.84000000000003,High Demand
KINGS CHOICE SMALL TUBE MATCHES,117,193.04999999999998,16,4.68,7.02,Low Demand
KINGS CHOICE TEA CADDY ,2315,6554.130000000001,384,92.6,138.89999999999998,Medium Demand
KISS REINDEER SCANDINAVIAN STOCKING,5,12.749999999999998,2,0.2,0.30000000000000004,Low Demand
KITCHEN FLOWER POTS WALL PLAQUE,487,867.25,33,19.48,29.22,Low Demand
KITCHEN METAL SIGN,5436,2904.1000000000004,544,217.44,326.15999999999997,High Demand
KITTENS DESIGN FLANNEL,1539,811.9499999999999,75,61.56,92.34,Medium Demand
KITTY PENCIL ERASERS,2425,503.65,143,97.0,145.5,Medium Demand
KNEELING MAT HOUSEWORK  DESIGN,1481,1993.91,187,59.24,88.86,Medium Demand
KNICKERBOCKERGLORY MAGNET ASSORTED ,2106,1679.3400000000001,111,84.24,126.35999999999999,Medium Demand
KNITTED MUG COSY IVORY COLOUR ,547,823.35,28,21.88,32.82,Medium Demand
KNITTED POM POM HOT WATER BOTTLE,5,18.75,3,0.2,0.30000000000000004,Low Demand
KNITTED RABBIT DOLL ,36,59.39999999999999,9,1.44,2.16,Low Demand
KNITTED RAINBOW HOT WATER BOTTLE,20,75.0,5,0.8,1.2000000000000002,Low Demand
KNITTED UNION FLAG HOT WATER BOTTLE,6073,22057.21,758,242.92,364.38,High Demand
L BLUE C/COVER W PINK/YELLOW FLOWER,6,41.7,2,0.24,0.36,Low Demand
LA JARDIN BOTANIQUE CUSHION COVER,81,303.75,23,3.24,4.86,Low Demand
LA PALMIERA METAL SIGN CALENDAR,760,246.0,12,30.4,45.599999999999994,Medium Demand
LA PALMIERA TILE COASTER,766,342.89,38,30.64,45.96,Medium Demand
LA PALMIERA TILE HOOK,950,195.0,24,38.0,57.0,Medium Demand
LA PALMIERA WALL THERMOMETER,453,680.0,26,18.12,27.18,Low Demand
LA STREGA CANVAS PICTURE ,73,122.55000000000001,7,2.92,4.38,Low Demand
LADIES & GENTLEMEN METAL SIGN,8224,19220.28,889,328.96,493.43999999999994,High Demand
LADLE LOVE HEART PINK,954,380.52000000000004,58,38.16,57.239999999999995,Medium Demand
LADLE LOVE HEART RED ,1357,532.5,72,54.28,81.42,Medium Demand
LADS ONLY TISSUE BOX,3206,3219.36,188,128.24,192.36,High Demand
LADYBIRD + BEE RAFFIA FOOD COVER,1009,3706.95,235,40.36,60.54,Medium Demand
LANDMARK FRAME BAKER STREET ,347,3867.85,29,13.88,20.82,Low Demand
LANDMARK FRAME CAMDEN TOWN ,558,6257.35,62,22.32,33.480000000000004,Medium Demand
LANDMARK FRAME COVENT GARDEN ,438,4949.55,52,17.52,26.28,Low Demand
LANDMARK FRAME LONDON BRIDGE ,413,4641.7,47,16.52,24.78,Low Demand
LANDMARK FRAME NOTTING HILL ,422,4768.15,48,16.88,25.32,Low Demand
LANDMARK FRAME OXFORD STREET,421,4755.65,54,16.84,25.259999999999998,Low Demand
LANTERN CREAM GAZEBO ,1517,7145.67,323,60.68,91.02,Medium Demand
LARGE  TALL CAMPHOR WOOD TOADSTOOL ,176,727.6,38,7.04,10.56,Low Demand
LARGE ANTIQUE WHITE PHOTO FRAME,509,3584.0600000000004,125,20.36,30.54,Medium Demand
LARGE APOTHECARY MEASURING JAR ,50,587.2,20,2.0,3.0,Low Demand
LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,1,0.16,0.24,Low Demand
LARGE BLUE ORIENTAL FOLDING STOOL,136,317.0,6,5.44,8.16,Low Demand
LARGE BLUE PROVENCAL CERAMIC BALL,116,228.84,17,4.64,6.959999999999999,Low Demand
LARGE BONNE JAM JAR  T-LIGHT HOLDER,254,662.0600000000001,10,10.16,15.24,Low Demand
LARGE CAKE STAND  HANGING STRAWBERY,2104,17533.95,443,84.16,126.24,Medium Demand
LARGE CAKE STAND HANGING HEARTS,718,5313.0199999999995,143,28.72,43.08,Medium Demand
LARGE CAKE TOWEL CHOCOLATE SPOTS,830,2084.1,64,33.2,49.800000000000004,Medium Demand
LARGE CAKE TOWEL PINK SPOTS,1260,5487.2,229,50.4,75.6,Medium Demand
"LARGE CAKE TOWEL, CHOCOLATE SPOTS",233,1567.95,98,9.32,13.98,Low Demand
LARGE CAMPHOR WOOD FIELD MUSHROOM ,96,376.2,28,3.84,5.76,Low Demand
LARGE CERAMIC TOP STORAGE JAR,2954,4624.5,220,118.16,177.24,High Demand
LARGE CHINESE STYLE SCISSOR,2331,1885.15,105,93.24,139.85999999999999,Medium Demand
LARGE CHUNKY GLASS ROMAN BOWL,294,1104.5,20,11.76,17.64,Low Demand
LARGE CIRCULAR MIRROR MOBILE,13590,12203.5,230,543.6,815.4000000000001,High Demand
LARGE CRYSTAL DIAMANTE HAIRSLIDE,46,68.7,5,1.84,2.7600000000000002,Low Demand
LARGE DECO JEWELLERY STAND,247,2990.3,88,9.88,14.82,Low Demand
LARGE ENGLISH ARBORETUM,113,1195.15,7,4.52,6.779999999999999,Low Demand
LARGE FIBRE OPTIC CHRISTMAS TREE,15,19.08,6,0.6,0.8999999999999999,Low Demand
LARGE GLASS ROSE SCENTED CANDLE ,2,15.9,1,0.08,0.12,Low Demand
LARGE GLASS SUNDAE DISH CLEAR,996,258.2,2,39.84,59.760000000000005,Medium Demand
LARGE GREEN PEONY FOLDING STOOL,131,314.34999999999997,6,5.24,7.86,Low Demand
LARGE HANGING GLASS+ZINC LANTERN,560,896.0,1,22.4,33.599999999999994,Medium Demand
LARGE HANGING IVORY & RED WOOD BIRD,3392,2150.08,188,135.68,203.52,High Demand
LARGE HEART FLOWERS HOOK   ,571,684.11,43,22.84,34.26,Medium Demand
LARGE HEART MEASURING SPOONS,4635,7548.87,515,185.4,278.1,High Demand
LARGE IVORY HEART WALL ORGANISER,759,5142.91,134,30.36,45.54,Medium Demand
LARGE JEWELLERY STAND,10,125.0,4,0.4,0.6000000000000001,Low Demand
LARGE MEDINA STAMPED METAL BOWL ,568,2766.21,141,22.72,34.08,Medium Demand
LARGE MINT DIAMANTE HAIRSLIDE,16,26.4,6,0.64,0.96,Low Demand
LARGE PARLOUR FRAME,27,122.85,2,1.08,1.62,Low Demand
LARGE PARLOUR PICTURE FRAME,78,380.7,27,3.12,4.68,Low Demand
LARGE PINK GLASS SUNDAE DISH,904,850.96,69,36.16,54.239999999999995,Medium Demand
LARGE PINK PEONY FOLDING STOOL,136,309.15,6,5.44,8.16,Low Demand
LARGE POPCORN HOLDER ,6122,9672.5,411,244.88,367.32,High Demand
LARGE PURPLE BABUSHKA NOTEBOOK  ,2323,2338.39,221,92.92,139.38,Medium Demand
LARGE RED BABUSHKA NOTEBOOK ,2542,2716.23,223,101.68,152.52,High Demand
LARGE RED RETROSPOT WINDMILL,2560,4941.0,181,102.4,153.60000000000002,High Demand
LARGE RED SPOT WINDMILL,2894,5390.4,34,115.76,173.64000000000001,High Demand
LARGE ROUND CUTGLASS CANDLESTICK,149,967.35,32,5.96,8.94,Low Demand
LARGE ROUND WICKER PLATTER ,433,2576.35,189,17.32,25.98,Low Demand
LARGE SKULL WINDMILL,285,586.5,49,11.4,17.1,Low Demand
LARGE STRAWBERRY CHOCOLATE CANDLE,56,94.7,5,2.24,3.3600000000000003,Low Demand
LARGE STRIPES CHOCOLATE GIFT BAG,1291,1360.15,60,51.64,77.46000000000001,Medium Demand
LARGE TAHITI BEACH BAG,211,1177.45,55,8.44,12.66,Low Demand
LARGE TORTILLA DESIGN RED BOWL,350,653.0999999999999,27,14.0,21.0,Low Demand
LARGE TRIFLE DESIGN L BLUE BOWL,229,405.15,15,9.16,13.74,Low Demand
LARGE WHITE HEART OF WICKER,2908,8184.700000000001,511,116.32,174.48,High Demand
LARGE WHITE HONEYCOMB PAPER BELL  ,1244,2395.1,115,49.76,74.64,Medium Demand
LARGE WHITE/PINK ROSE ART FLOWER,647,964.4300000000001,37,25.88,38.82,Medium Demand
LARGE YELLOW BABUSHKA NOTEBOOK ,1138,1244.96,172,45.52,68.28,Medium Demand
LARGE ZINC GLASS CANDLEHOLDER,55,127.68,10,2.2,3.3000000000000003,Low Demand
LARGE ZINC HEART WALL ORGANISER,1064,6414.48,37,42.56,63.84,Medium Demand
LARGE ZINC/GLASS CANDLEHOLDER,23,48.3,6,0.92,1.3800000000000001,Low Demand
LASER CUT MULTI STRAND NECKLACE,5,59.75,4,0.2,0.30000000000000004,Low Demand
LAUNDRY 15C METAL SIGN,5388,7456.69,550,215.52,323.28000000000003,High Demand
LAUREL HEART ANTIQUE GOLD,518,613.51,40,20.72,31.08,Medium Demand
LAUREL HEART ANTIQUE SILVER,1290,1567.0,84,51.6,77.4,Medium Demand
LAUREL STAR ANTIQUE GOLD,372,465.81,33,14.88,22.32,Low Demand
LAUREL STAR ANTIQUE SILVER ,404,504.6,49,16.16,24.240000000000002,Low Demand
LAVENDER INCENSE 40 CONES IN TIN,215,220.75,26,8.6,12.899999999999999,Low Demand
LAVENDER INCENSE IN TIN,2084,1268.53,110,83.36,125.03999999999999,Medium Demand
LAVENDER SCENT CAKE CANDLE,1877,454.09,35,75.08,112.62,Medium Demand
LAVENDER SCENTED FABRIC HEART,5707,7065.43,460,228.28,342.42,High Demand
LAVENDER SCENTED SET/9 T-LIGHTS,1022,814.0999999999999,101,40.88,61.32000000000001,Medium Demand
LAVENDER TOILETTE BOTTLE,534,1068.96,60,21.36,32.04,Medium Demand
LAZER CUT NECKLACE W PASTEL BEADS,58,430.7,6,2.32,3.4799999999999995,Low Demand
LE GRAND TRAY CHIC SET,147,1837.5,74,5.88,8.82,Low Demand
LE JARDIN BOTANIQUE CUSHION COVER,527,1970.73,139,21.08,31.619999999999997,Medium Demand
LEAVES MAGNETIC  SHOPPING LIST,24,34.8,2,0.96,1.44,Low Demand
LED TEA LIGHTS,596,1679.24,54,23.84,35.76,Medium Demand
LEOPARD PRINT HOT WATER BOTTLE,46,153.3,12,1.84,2.7600000000000002,Low Demand
LETS GO SHOPPING COTTON TOTE BAG,611,1356.17,144,24.44,36.660000000000004,Medium Demand
"LETTER ""A"" BLING KEY RING",127,135.71,45,5.08,7.62,Low Demand
"LETTER ""B"" BLING KEY RING",48,48.48,16,1.92,2.88,Low Demand
